POS_QC_amikacin	POS_QC_chloramphenicol	POS_QC_ciprofloxacin	POS_QC_gentamicin	POS_QC_meropenem	POS_QC_amoxicillin	POS_QC_amoxicillin_clavulanic_acid	POS_QC_cefepime	POS_QC_ceftazidime	POS_QC_tigecycline	QC_amikacin	QC_chloramphenicol	QC_ciprofloxacin	QC_gentamicin	QC_meropenem	QC_amoxicillin	QC_amoxicillin_clavulanic_acid	QC_cefepime	QC_ceftazidime	QC_tigecycline	genome_id	date_collected	lca_class	AMR_org	antibiotic	measurement	laboratory_typing_method	measurement_unit	resistant_phenotype
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	amikacin	2	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	chloramphenicol	8	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	ciprofloxacin	0.03	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	gentamicin	1	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	meropenem	0.015	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	amoxicillin	>64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	amoxicillin_clavulanic_acid	>64	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	cefepime	32	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	ceftazidime	16	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	tigecycline	<0.0625	Agar dilution	mg/L	NA
2	2	0.008	1	0.03	8	8	<0.03	0.0625	<0.0625	W	W	P	W	W	P	P	W	P	P	B9	2017-01-15	7	B_ESCHR_COLI	Co-amoxyclav	NA	Disk diffusion	NA	S
