study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB4681	SAMEA2204230	ERX400534	ERR434259	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434259/ERR434259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434259/ERR434259_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434259/11657_5#1.cram	
PRJEB4681	SAMEA2204238	ERX400535	ERR434260	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434260/ERR434260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434260/ERR434260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434260/11657_5#2.cram	
PRJEB4681	SAMEA2204244	ERX400536	ERR434261	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434261/ERR434261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434261/ERR434261_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434261/11657_5#3.cram	
PRJEB4681	SAMEA2204260	ERX400537	ERR434262	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434262/ERR434262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434262/ERR434262_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434262/11657_5#4.cram	
PRJEB4681	SAMEA2204277	ERX400538	ERR434263	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434263/ERR434263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434263/ERR434263_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434263/11657_5#5.cram	
PRJEB4681	SAMEA2204362	ERX400539	ERR434264	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434264/ERR434264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434264/ERR434264_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434264/11657_5#6.cram	
PRJEB4681	SAMEA2204368	ERX400540	ERR434265	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434265/ERR434265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434265/ERR434265_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434265/11657_5#7.cram	
PRJEB4681	SAMEA2204385	ERX400541	ERR434266	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434266/ERR434266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434266/ERR434266_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434266/11657_5#8.cram	
PRJEB4681	SAMEA2204395	ERX400542	ERR434267	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434267/ERR434267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434267/ERR434267_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434267/11657_5#9.cram	
PRJEB4681	SAMEA2204418	ERX400543	ERR434268	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434268/ERR434268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434268/ERR434268_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434268/11657_5#10.cram	
PRJEB4681	SAMEA2204424	ERX400544	ERR434269	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434269/ERR434269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434269/ERR434269_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434269/11657_5#11.cram	
PRJEB4681	SAMEA2204427	ERX400545	ERR434270	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434270/ERR434270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434270/ERR434270_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434270/11657_5#12.cram	
PRJEB4681	SAMEA2204430	ERX400546	ERR434271	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434271/ERR434271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434271/ERR434271_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434271/11657_5#13.cram	
PRJEB4681	SAMEA2204456	ERX400547	ERR434272	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434272/ERR434272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434272/ERR434272_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434272/11657_5#14.cram	
PRJEB4681	SAMEA2204473	ERX400548	ERR434273	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434273/ERR434273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434273/ERR434273_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434273/11657_5#15.cram	
PRJEB4681	SAMEA2204484	ERX400549	ERR434274	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434274/ERR434274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434274/ERR434274_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434274/11657_5#16.cram	
PRJEB4681	SAMEA2204505	ERX400550	ERR434275	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434275/ERR434275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434275/ERR434275_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434275/11657_5#17.cram	
PRJEB4681	SAMEA2204506	ERX400551	ERR434276	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434276/ERR434276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434276/ERR434276_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434276/11657_5#18.cram	
PRJEB4681	SAMEA2204511	ERX400552	ERR434277	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434277/ERR434277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434277/ERR434277_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434277/11657_5#19.cram	
PRJEB4681	SAMEA2204520	ERX400553	ERR434278	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434278/ERR434278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434278/ERR434278_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434278/11657_5#20.cram	
PRJEB4681	SAMEA2204569	ERX400554	ERR434279	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434279/ERR434279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434279/ERR434279_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434279/11657_5#21.cram	
PRJEB4681	SAMEA2204606	ERX400555	ERR434280	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434280/ERR434280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434280/ERR434280_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434280/11657_5#22.cram	
PRJEB4681	SAMEA2204607	ERX400556	ERR434281	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434281/ERR434281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434281/ERR434281_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434281/11657_5#23.cram	
PRJEB4681	SAMEA2204630	ERX400557	ERR434282	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434282/ERR434282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434282/ERR434282_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434282/11657_5#24.cram	
PRJEB4681	SAMEA2204673	ERX400558	ERR434283	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434283/ERR434283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434283/ERR434283_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434283/11657_5#25.cram	
PRJEB4681	SAMEA2204676	ERX400559	ERR434284	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434284/ERR434284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434284/ERR434284_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434284/11657_5#26.cram	
PRJEB4681	SAMEA2204689	ERX400560	ERR434285	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434285/ERR434285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434285/ERR434285_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434285/11657_5#27.cram	
PRJEB4681	SAMEA2204694	ERX400561	ERR434286	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434286/ERR434286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434286/ERR434286_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434286/11657_5#28.cram	
PRJEB4681	SAMEA2204710	ERX400562	ERR434287	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434287/ERR434287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434287/ERR434287_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434287/11657_5#29.cram	
PRJEB4681	SAMEA2204711	ERX400563	ERR434288	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434288/ERR434288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434288/ERR434288_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434288/11657_5#30.cram	
PRJEB4681	SAMEA2204733	ERX400564	ERR434289	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434289/ERR434289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434289/ERR434289_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434289/11657_5#31.cram	
PRJEB4681	SAMEA2204736	ERX400565	ERR434290	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434290/ERR434290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434290/ERR434290_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434290/11657_5#32.cram	
PRJEB4681	SAMEA2204739	ERX400566	ERR434291	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434291/ERR434291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434291/ERR434291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434291/11657_5#33.cram	
PRJEB4681	SAMEA2204745	ERX400567	ERR434292	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434292/ERR434292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434292/ERR434292_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434292/11657_5#34.cram	
PRJEB4681	SAMEA2204747	ERX400568	ERR434293	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434293/ERR434293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434293/ERR434293_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434293/11657_5#35.cram	
PRJEB4681	SAMEA2204765	ERX400569	ERR434294	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434294/ERR434294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434294/ERR434294_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434294/11657_5#36.cram	
PRJEB4681	SAMEA2204766	ERX400570	ERR434295	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434295/ERR434295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434295/ERR434295_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434295/11657_5#37.cram	
PRJEB4681	SAMEA2204774	ERX400571	ERR434296	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434296/ERR434296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR434/ERR434296/ERR434296_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR434/ERR434296/11657_5#38.cram	
